Instance,HiGHS,SCIP
sorrell3,timeout,timeout
sp150x300d,1,1
sp97ar,6929,timeout
sp98ar,3041,6629
splice1k1,timeout,2734
square41,timeout,timeout
square47,timeout,timeout
supportcase10,timeout,timeout
supportcase12,timeout,timeout
supportcase18,timeout,timeout
supportcase19,timeout,timeout
supportcase22,timeout,timeout
supportcase26,2313,timeout
supportcase33,119,254
supportcase40,1252,873
supportcase42,timeout,timeout
supportcase6,timeout,timeout
supportcase7,61,96
swath1,8,8
swath3,99,100
tbfp-network,608,339
thor50dday,timeout,timeout
timtab1,59,42
tr12-30,339,371
traininstance2,timeout,timeout
traininstance6,266,timeout
trento1,2292,timeout
triptim1,56,1270
uccase12,225,timeout
uccase9,timeout,timeout
uct-subprob,1997,1406
unitcal_7,83,446
var-smallemery-m6j6,timeout,3608
wachplan,1892,643
